type-1	type-2	type-3	说明	主要对应词性	subtype示例(开放集合)	src(C表示cb、E表示eb)
术语	化学术语				化学结构	C
术语	统计术语				数理统计术语	C
术语	地学术语				地理学术语、地质学术语	C
术语	农业学术语				土壤学术语	C
术语	心理学术语				心理现象	C
术语	语言学术语				语法、词法、音韵学术语	C
术语	建筑术语				土木工程术语、装修术语	C
术语	军事术语					C
术语	政治术语					C
术语	哲学术语				哲学理论、伦理学术语、逻辑学术语	C
术语	宗教术语				道教术语、佛教术语	C
术语	通信术语					C
术语	材料科学术语					C
术语	航空科技术语					C
术语	水利科技术语				水利工程	C
术语	测绘学术语				测量术语	C
术语	电力术语					C
术语	社会学术语					C
术语	交通术语				船舶工程术语	C
术语	钓鱼术语					C
术语	ACGN术语					C
生活用语			日常生活中常用词	n/普通名词;nz/其他专名	信息知识资料、标识物、行业、服务	C
生活用语	情绪					C
生活用语	态度					C
生活用语	表情				笑、哭、眼神	C
生活用语	人物造型				妆容、发型	C
生活用语	个性特点					C
生活用语	颜色					C
生活用语	场景事件		包括常见动词	v/普通动词;vn/名动词;vd/动副词	考试	C/E
时间阶段			时间相关词	t/时间名词	时间、年代、世纪...	C
时间阶段	地质年代					C
时间阶段	特殊日				农历二十四节气、假日、节日、纪念日	C
词汇用语			语法词类、汉字、成语等，用于兜底	n/普通名词		C
词汇用语	汉字		汉字字表			C/E
词汇用语	成语		成语词表			C/E
词汇用语	俗语		非成语的俗语		歇后语、顺口溜、谚语	C/E
词汇用语	诗句		诗句			C/E
词汇用语	介词		介词	p/介词		C
词汇用语	助词		助词	u/助词		C
词汇用语	代词		代词	r/代词		C
词汇用语	连词		连词	c/连词		C
词汇用语	副词		副词	d/副词		C
词汇用语	疑问词		疑问词			C
词汇用语	肯定否定词		常用肯定词和否定词			C
词汇用语	量词		量词	q/量词		C
词汇用语	数量词		数量词	m/数量词		C
词汇用语	叹词		叹词			C
词汇用语	拟声词		拟声词			C
词汇用语	修饰词		修饰词，包括常见形容词	n/普通名词;a/形容词;ad/副形词;an/名形词		C
词汇用语	汉字偏旁部首		汉字偏旁部首			C
词汇用语	日文假名		日文假名		平假名、片假名	C
词汇用语	汉语拼音		汉语拼音字母			C
